day,rhyme_label_old,rhyme_full_old,vol_score_old,vol_label_old,vol_high_old,sentiment_raw_old,sentiment_norm_old,score_impl_old,rhyme_label_new,rhyme_full_new,vol_score_new,vol_label_new,vol_high_new,sentiment_raw_new,sentiment_norm_new,score_impl_new,flipped,flipped_into_AB,flipped_out_of_AB
2024-02-14,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.3026716306200412,-0.3026716306200412,BUGGY,B,RHYME_B: Panic_Volatility,0.5072173534358905,High,True,-0.3026716306200412,-0.3026716306200412,FIXED,True,True,False
2024-02-15,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.10657144237822624,-1.0,BUGGY,B,RHYME_B: Panic_Volatility,0.5057229316258796,High,True,-0.10657144237822624,-1.0,FIXED,True,True,False
2024-02-16,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.08567776205883293,-1.0,BUGGY,B,RHYME_B: Panic_Volatility,0.504724906591015,High,True,-0.08567776205883293,-1.0,FIXED,True,True,False
2024-02-17,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.08266570449325261,-1.0,BUGGY,B,RHYME_B: Panic_Volatility,0.5033608018093298,High,True,-0.08266570449325261,-1.0,FIXED,True,True,False
2024-02-18,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.13540146688855814,-1.0,BUGGY,B,RHYME_B: Panic_Volatility,0.5015046371126662,High,True,-0.13540146688855814,-1.0,FIXED,True,True,False
2024-02-19,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.13651877477149887,-1.0,BUGGY,B,RHYME_B: Panic_Volatility,0.49967965224943944,High,True,-0.13651877477149887,-1.0,FIXED,True,True,False
2024-02-20,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.252894027989926,-0.252894027989926,BUGGY,B,RHYME_B: Panic_Volatility,0.49788818045240363,High,True,-0.252894027989926,-0.252894027989926,FIXED,True,True,False
2024-02-21,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.27010406366284057,-0.27010406366284057,BUGGY,B,RHYME_B: Panic_Volatility,0.49610226020599607,High,True,-0.27010406366284057,-0.27010406366284057,FIXED,True,True,False
2024-02-22,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.25577888878402943,-0.25577888878402943,BUGGY,B,RHYME_B: Panic_Volatility,0.4943354199620116,High,True,-0.25577888878402943,-0.25577888878402943,FIXED,True,True,False
2024-02-23,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.2529940048831044,-0.2529940048831044,BUGGY,B,RHYME_B: Panic_Volatility,0.49256736488067887,High,True,-0.2529940048831044,-0.2529940048831044,FIXED,True,True,False
2024-02-24,E,RHYME_E: Steady_Bearish_Decline,0.0,Low,False,-0.15095285417286108,-1.0,BUGGY,B,RHYME_B: Panic_Volatility,0.495798932421933,High,True,-0.15095285417286108,-1.0,FIXED,True,True,False
2024-02-25,C,RHYME_C: Steady_Bullish_Growth,0.0,Low,False,0.041876892256072384,0.6281533838410858,BUGGY,A,RHYME_A: Euphoric_Volatility,0.49442635546364505,High,True,0.041876892256072384,0.6281533838410858,FIXED,True,True,False
2024-02-26,C,RHYME_C: Steady_Bullish_Growth,0.0,Low,False,0.1334661321234063,1.0,BUGGY,A,RHYME_A: Euphoric_Volatility,0.49313786382931935,High,True,0.1334661321234063,1.0,FIXED,True,True,False
2024-02-27,C,RHYME_C: Steady_Bullish_Growth,0.0,Low,False,0.32491581784269874,0.32491581784269874,BUGGY,A,RHYME_A: Euphoric_Volatility,0.49144722589268247,High,True,0.32491581784269874,0.32491581784269874,FIXED,True,True,False
2024-02-28,C,RHYME_C: Steady_Bullish_Growth,0.0,Low,False,0.45612007689460654,0.45612007689460654,BUGGY,A,RHYME_A: Euphoric_Volatility,0.48977385525570916,High,True,0.45612007689460654,0.45612007689460654,FIXED,True,True,False
2024-02-29,C,RHYME_C: Steady_Bullish_Growth,0.0,Low,False,0.41491711305337287,0.41491711305337287,BUGGY,A,RHYME_A: Euphoric_Volatility,0.4881098755247398,High,True,0.41491711305337287,0.41491711305337287,FIXED,True,True,False
2024-03-01,C,RHYME_C: Steady_Bullish_Growth,0.0,Low,False,0.27245508147188335,0.27245508147188335,BUGGY,A,RHYME_A: Euphoric_Volatility,0.48646550693259527,High,True,0.27245508147188335,0.27245508147188335,FIXED,True,True,False
