Timestamp,Ticker,Signal,Allocation
2026-05-21 00:36:17.824342,VTI,BUY,0.01
2026-05-21 18:39:48,BTC/USD,9054c91f-5641-4298-9ac0-15492a1be396,50
2026-05-21 18:39:48,ETH/USD,cdfbf351-4114-4920-a7f8-11346987a38c,50
2026-05-21 18:39:48,SOL/USD,d251c845-740a-4eca-8195-f7a8882c3c6d,50
2026-05-21 18:42:49,BTC/USD,96e59757-3143-4621-8655-e4390c854836,50
2026-05-21 18:42:49,ETH/USD,127f5b00-e378-4666-8d74-a5bc3289e8d9,50
2026-05-21 18:42:49,SOL/USD,2375fe3e-be60-4c82-82c4-7d97bc9e22dd,50
2026-05-22 01:33:57,BTC/USD,da2f0367-2fdc-4480-a013-4dd75af8002c,50
2026-05-22 01:33:57,ETH/USD,160909a9-2d85-497e-ab06-1879f7d62000,50
2026-05-22 01:33:57,SOL/USD,21c46bf1-895f-4190-9caa-6be0e934a42e,50
2026-05-22 01:39:02,BTC/USD,fd27666a-0834-4015-9deb-866a78a1090b,50
2026-05-22 01:39:02,ETH/USD,4d93cd4f-2b06-4246-ab8d-be0722d3254a,50
2026-05-22 01:39:02,SOL/USD,fa89dd09-ea05-4b47-b458-244bfa461f87,50
